time_iso8601,stars_cumulative
2024-05-29 00:00:00+00:00,4377
2024-05-30 00:00:00+00:00,4378
2024-06-02 00:00:00+00:00,4380
2024-06-03 00:00:00+00:00,4382
2024-06-04 00:00:00+00:00,4385
2024-06-05 00:00:00+00:00,4387
2024-06-06 00:00:00+00:00,4389
2024-06-07 00:00:00+00:00,4390
2024-06-08 00:00:00+00:00,4393
2024-06-09 00:00:00+00:00,4400
2024-06-10 00:00:00+00:00,4406
2024-06-11 00:00:00+00:00,4408
2024-06-12 00:00:00+00:00,4410
2024-06-13 00:00:00+00:00,4412
2024-06-15 00:00:00+00:00,4413
2024-06-16 00:00:00+00:00,4415
2024-06-18 00:00:00+00:00,4416
2024-06-19 00:00:00+00:00,4418
2024-06-20 00:00:00+00:00,4420
2024-06-21 00:00:00+00:00,4421
2024-06-22 00:00:00+00:00,4422
2024-06-24 00:00:00+00:00,4429
2024-06-25 00:00:00+00:00,4433
2024-06-26 00:00:00+00:00,4445
2024-06-27 00:00:00+00:00,4457
2024-06-28 00:00:00+00:00,4465
2024-06-29 00:00:00+00:00,4478
2024-06-30 00:00:00+00:00,4482
2024-07-01 00:00:00+00:00,4483
2024-07-03 00:00:00+00:00,4487
2024-07-04 00:00:00+00:00,4488
2024-07-05 00:00:00+00:00,4491
2024-07-06 00:00:00+00:00,4496
2024-07-07 00:00:00+00:00,4497
2024-07-08 00:00:00+00:00,4498
2024-07-09 00:00:00+00:00,4501
2024-07-11 00:00:00+00:00,4505
2024-07-12 00:00:00+00:00,4506
2024-07-13 00:00:00+00:00,4507
2024-07-14 00:00:00+00:00,4512
2024-07-15 00:00:00+00:00,4513
2024-07-16 00:00:00+00:00,4515
2024-07-17 00:00:00+00:00,4518
2024-07-18 00:00:00+00:00,4520
2024-07-19 00:00:00+00:00,4521
2024-07-20 00:00:00+00:00,4523
2024-07-22 00:00:00+00:00,4525
2024-07-23 00:00:00+00:00,4527
2024-07-25 00:00:00+00:00,4531
2024-07-26 00:00:00+00:00,4535
2024-07-28 00:00:00+00:00,4538
2024-07-29 00:00:00+00:00,4539
2024-07-31 00:00:00+00:00,4541
2024-08-01 00:00:00+00:00,4542
2024-08-02 00:00:00+00:00,4546
2024-08-04 00:00:00+00:00,4550
2024-08-05 00:00:00+00:00,4552
2024-08-06 00:00:00+00:00,4553
2024-08-07 00:00:00+00:00,4555
2024-08-08 00:00:00+00:00,4557
2024-08-10 00:00:00+00:00,4558
2024-08-11 00:00:00+00:00,4561
2024-08-12 00:00:00+00:00,4564
2024-08-14 00:00:00+00:00,4565
2024-08-15 00:00:00+00:00,4568
2024-08-16 00:00:00+00:00,4570
2024-08-17 00:00:00+00:00,4571
2024-08-19 00:00:00+00:00,4573
2024-08-20 00:00:00+00:00,4577
2024-08-21 00:00:00+00:00,4581
2024-08-23 00:00:00+00:00,4586
2024-08-25 00:00:00+00:00,4587
2024-08-26 00:00:00+00:00,4589
2024-08-27 00:00:00+00:00,4592
2024-08-29 00:00:00+00:00,4593
2024-08-31 00:00:00+00:00,4596
2024-09-01 00:00:00+00:00,4597
2024-09-03 00:00:00+00:00,4601
2024-09-04 00:00:00+00:00,4605
2024-09-05 00:00:00+00:00,4606
2024-09-06 00:00:00+00:00,4607
2024-09-07 00:00:00+00:00,4609
2024-09-08 00:00:00+00:00,4611
2024-09-09 00:00:00+00:00,4612
2024-09-10 00:00:00+00:00,4613
2024-09-11 00:00:00+00:00,4616
2024-09-12 00:00:00+00:00,4620
2024-09-13 00:00:00+00:00,4623
2024-09-14 00:00:00+00:00,4625
2024-09-15 00:00:00+00:00,4627
2024-09-16 00:00:00+00:00,4629
2024-09-19 00:00:00+00:00,4630
2024-09-20 00:00:00+00:00,4631
2024-09-21 00:00:00+00:00,4632
2024-09-24 00:00:00+00:00,4634
2024-09-25 00:00:00+00:00,4637
2024-09-26 00:00:00+00:00,4638
2024-09-28 00:00:00+00:00,4639
2024-09-29 00:00:00+00:00,4640
2024-09-30 00:00:00+00:00,4642
2024-10-01 00:00:00+00:00,4643
2024-10-02 00:00:00+00:00,4645
2024-10-03 00:00:00+00:00,4647
2024-10-04 00:00:00+00:00,4648
2024-10-05 00:00:00+00:00,4651
2024-10-06 00:00:00+00:00,4652
2024-10-07 00:00:00+00:00,4653
2024-10-09 00:00:00+00:00,4658
2024-10-10 00:00:00+00:00,4659
2024-10-12 00:00:00+00:00,4660
2024-10-14 00:00:00+00:00,4662
2024-10-15 00:00:00+00:00,4663
2024-10-16 00:00:00+00:00,4664
2024-10-17 00:00:00+00:00,4666
2024-10-18 00:00:00+00:00,4667
2024-10-19 00:00:00+00:00,4668
2024-10-20 00:00:00+00:00,4670
2024-10-21 00:00:00+00:00,4672
2024-10-22 00:00:00+00:00,4673
2024-10-23 00:00:00+00:00,4675
2024-10-24 00:00:00+00:00,4677
2024-10-25 00:00:00+00:00,4680
2024-10-26 00:00:00+00:00,4684
2024-10-27 00:00:00+00:00,4685
2024-10-28 00:00:00+00:00,4687
2024-10-29 00:00:00+00:00,4688
2024-10-30 00:00:00+00:00,4701
2024-10-31 00:00:00+00:00,4734
2024-11-01 00:00:00+00:00,4752
2024-11-02 00:00:00+00:00,4759
2024-11-03 00:00:00+00:00,4765
2024-11-04 00:00:00+00:00,4769
2024-11-05 00:00:00+00:00,4774
2024-11-06 00:00:00+00:00,4776
2024-11-07 00:00:00+00:00,4778
2024-11-09 00:00:00+00:00,4780
2024-11-10 00:00:00+00:00,4781
2024-11-12 00:00:00+00:00,4782
2024-11-14 00:00:00+00:00,4783
2024-11-15 00:00:00+00:00,4786
2024-11-16 00:00:00+00:00,4788
2024-11-17 00:00:00+00:00,4790
2024-11-18 00:00:00+00:00,4791
2024-11-19 00:00:00+00:00,4794
2024-11-20 00:00:00+00:00,4797
2024-11-21 00:00:00+00:00,4798
2024-11-22 00:00:00+00:00,4801
2024-11-23 00:00:00+00:00,4805
2024-11-25 00:00:00+00:00,4807
2024-11-26 00:00:00+00:00,4810
2024-11-27 00:00:00+00:00,4815
2024-11-28 00:00:00+00:00,4817
2024-11-29 00:00:00+00:00,4818
2024-12-01 00:00:00+00:00,4819
2024-12-02 00:00:00+00:00,4824
2024-12-03 00:00:00+00:00,4826
2024-12-05 00:00:00+00:00,4831
2024-12-06 00:00:00+00:00,4833
2024-12-07 00:00:00+00:00,4834
2024-12-08 00:00:00+00:00,4836
2024-12-09 00:00:00+00:00,4838
2024-12-10 00:00:00+00:00,4840
2024-12-11 00:00:00+00:00,4844
2024-12-12 00:00:00+00:00,4848
2024-12-13 00:00:00+00:00,4851
2024-12-14 00:00:00+00:00,4853
2024-12-15 00:00:00+00:00,4854
2024-12-16 00:00:00+00:00,4855
2024-12-17 00:00:00+00:00,4856
2024-12-18 00:00:00+00:00,4858
2024-12-19 00:00:00+00:00,4860
2024-12-20 00:00:00+00:00,4861
2024-12-21 00:00:00+00:00,4863
2024-12-22 00:00:00+00:00,4864
2024-12-23 00:00:00+00:00,4865
2024-12-24 00:00:00+00:00,4866
2024-12-25 00:00:00+00:00,4869
2024-12-26 00:00:00+00:00,4870
2024-12-27 00:00:00+00:00,4871
2024-12-30 00:00:00+00:00,4872
2024-12-31 00:00:00+00:00,4873
2025-01-01 00:00:00+00:00,4877
2025-01-02 00:00:00+00:00,4880
2025-01-03 00:00:00+00:00,4881
2025-01-04 00:00:00+00:00,4882
2025-01-05 00:00:00+00:00,4884
2025-01-06 00:00:00+00:00,4885
2025-01-07 00:00:00+00:00,4889
2025-01-08 00:00:00+00:00,4890
2025-01-09 00:00:00+00:00,4894
2025-01-10 00:00:00+00:00,4896
2025-01-12 00:00:00+00:00,4901
2025-01-13 00:00:00+00:00,4902
2025-01-14 00:00:00+00:00,4904
2025-01-15 00:00:00+00:00,4906
2025-01-16 00:00:00+00:00,4908
2025-01-18 00:00:00+00:00,4909
2025-01-19 00:00:00+00:00,4910
2025-01-20 00:00:00+00:00,4911
2025-01-21 00:00:00+00:00,4913
2025-01-22 00:00:00+00:00,4916
2025-01-23 00:00:00+00:00,4918
2025-01-24 00:00:00+00:00,4919
2025-01-25 00:00:00+00:00,4922
2025-01-27 00:00:00+00:00,4924
2025-01-28 00:00:00+00:00,4925
2025-01-29 00:00:00+00:00,4927
2025-01-30 00:00:00+00:00,4929
2025-01-31 00:00:00+00:00,4932
2025-02-01 00:00:00+00:00,4933
2025-02-02 00:00:00+00:00,4934
2025-02-03 00:00:00+00:00,4935
2025-02-04 00:00:00+00:00,4937
2025-02-05 00:00:00+00:00,4941
2025-02-06 00:00:00+00:00,4944
2025-02-08 00:00:00+00:00,4947
2025-02-10 00:00:00+00:00,4950
2025-02-11 00:00:00+00:00,4952
2025-02-12 00:00:00+00:00,4955
2025-02-13 00:00:00+00:00,4957
